"check_id","passed","detail"
"exact_exhibit_ids",TRUE,"found 35 unique exhibits; expected 35"
"exact_component_counts",TRUE,"manifest contains 42 exhibit components"
"unique_components",TRUE,"exhibit/component keys are unique"
"component_hashes",TRUE,"42/42 exhibit component hashes match"
"no_orphan_exhibit_artifacts",TRUE,"accepted exhibit artifact namespace equals exhibit manifest exactly"
"output_mapping",TRUE,"numerical exhibit output mappings agree with reference manifest"
"c20_provenance",TRUE,"C20 frozen input, source payload, construction script, and parity audit are hash-linked"
"archival_passthrough_lineage",TRUE,"C25 and Cox quarantine archives are hash-linked and never labeled as fresh estimates"
"archival_passthrough_nonblocking",TRUE,"Every frozen_passthrough reference is registered as advisory or inventory-only"
"derived_reference_lineage",TRUE,"Figure 7-9/C1-C2 plot data and C9/C12/C26 derived oracles are hash-linked and disclosed"
"power_seed_lineage",TRUE,"Accepted seed-24 streams and fresh cell-hash streams are explicitly distinct"
"accepted_stochastic_codestack",TRUE,"11 accepted stochastic reference hashes pass; external codestack sources present 11/11 and producer scripts present 11/11 (present files hash-match)"
"unique_rng_streams",TRUE,"136 power/calibration design cells have distinct deterministic seeds"
